ID|KEY|English|Telugu|Hindi|Tamil|Kannada|Malayalam|Bengali|Marathi|Gujarati|Punjabi|Odia|Assamese|Urdu|Sanskrit|Nepali|Konkani|Manipuri|Bodo|Dogri|Santali|Kashmiri|Sindhi
11|terms_conditions|Terms & Conditions|నిబంధనలు మరియు షరతులు|नियम और शर्तें|விதிமுறைகள் மற்றும் நிபந்தனைகள்|ನಿಯಮಗಳು ಮತ್ತು ಷರತ್ತುಗಳು|നിബന്ധനകളും വ്യവസ്ഥകളും|শর্তাবলী|अटी आणि नियम|નિયમો અને શરતો|ਸ਼ਰਤਾਂ ਅਤੇ ਨਿਯਮ|ନିୟମ ଓ ଶରତ|চৰ্তাৱলী|شرائط و ضوابط|नियमाश्च शर्ताश्च|सर्तहरू र नियमहरू|अटी आनी नियम|ꯁꯦꯔꯇꯁꯤꯡ ꯑꯃꯗꯤ ꯅꯤꯌꯝꯁꯤꯡ|नियम आरो शर्त|शर्तें आरू नियम|ᱥᱮᱨᱢᱟ ᱟᱨ ᱱᱤᱭᱚᱢ|شرائط تہ قوانین|شرطون ۽ قانون
12|refund_cancellation|Refund & Cancellation|వాపసు మరియు రద్దు|रिफंड और रद्दीकरण|பணத்திரும்பம் மற்றும் ரத்து|ಮರುಪಾವತಿ ಮತ್ತು ರದ್ದತಿ|റിഫണ്ടും റദ്ദാക്കലും|রিফান্ড ও বাতিল|परतावा आणि रद्द|રિફંડ અને રદ|ਰਿਫੰਡ ਅਤੇ ਰੱਦ|ଫେରସ୍ତ ଓ ବାତିଲ|পৰিবৰ্তন আৰু বাতিল|واپسی اور منسوخی|प्रत्यावर्तनं च रद्दीकरणं च|फिर्ता र रद्द|परतावो आनी रद्द|ꯋꯥꯄꯁꯤ ꯑꯃꯗꯤ ꯔꯥꯗꯗꯥ|फिर्ता आरो रद्द|वापसी आरू रद्द|ᱯᱷᱤᱨᱛᱟ ᱟᱨ ᱨᱟᱫᱽ|واپسی تہ منسوخی|واپسي ۽ رد
13|shipping_delivery|Shipping & Delivery|రవాణా మరియు డెలివరీ|शिपिंग और डिलीवरी|அனுப்புதல் மற்றும் விநியோகம்|ಶಿಪ್ಪಿಂಗ್ ಮತ್ತು ಡೆಲಿವರಿ|ഷിപ്പിംഗും ഡെലിവറിയും|শিপিং ও ডেলিভারি|शिपिंग आणि डिलिव्हरी|શિપિંગ અને ડિલિવરી|ਸ਼ਿਪਿੰਗ ਅਤੇ ਡਿਲਿਵਰੀ|ପ୍ରେରଣ ଓ ବିତରଣ|পাঠোৱা আৰু বিতৰণ|شپنگ اور ڈیلیوری|प्रेषणं च वितरणं च|पठाउने र वितरण|शिपिंग आनी डिलिव्हरी|ꯁꯤꯄꯤꯡ ꯑꯃꯗꯤ ꯗꯦꯂꯤꯚꯦꯔꯤ|पठानाय आरो बितरण|भेजण आरू डिलिवरी|ᱯᱟᱦᱟᱴ ᱟᱨ ᱰᱮᱞᱤᱵᱷᱟᱨᱤ|شپنگ تہ ڈیلیوری|شپنگ ۽ ڊليوري
14|api_docs|API Docs|API పత్రాలు|API दस्तावेज़|API ஆவணங்கள்|API ದಾಖಲೆಗಳು|API ഡോക്യുമെന്റുകൾ|API নথি|API दस्तऐवज|API દસ્તાવેજો|API ਦਸਤਾਵੇਜ਼|API ଦଲିଲ|API দলিল|API دستاویزات|API दस्तावेजानि|API कागजात|API दस्तावेज|API ꯗꯁꯇꯥꯚꯦꯖꯁꯤꯡ|API दस्तावेज|API दस्तावेज|API ᱫᱚᱥᱴᱟᱵᱮᱡ|API دستاویزات|API دستاويز
15|contact|Contact|సంప్రదించండి|संपर्क|தொடர்பு|ಸಂಪರ್ಕಿಸಿ|ബന്ധപ്പെടുക|যোগাযোগ|संपर्क|સંપર્ક કરો|ਸੰਪਰਕ|ଯୋଗାଯୋଗ|যোগাযোগ|رابطہ|सम्पर्कः|सम्पर्क|संपर्क|ꯁꯝꯄꯔꯀꯧ|सम्पर्क|संपर्क|ᱥᱚᱢᱯᱚᱨᱚᱠ|رابطہ|رابطو
16|back|← Back|← వెనుక|← वापस|← பின்செல்|← ಹಿಂದೆ|← പിന്നോട്ട്|← পিছনে|← मागे|← પાછું|← ਪਿੱਛੇ|← ପଛକୁ|← পিছলৈ|← پیچھے|← पृष्ठतः|← पछाडि|← फाटीं|← ꯄꯤꯆꯍꯨ|← पिन्थाव|← पिछे|← ᱯᱤᱪᱷᱮ|← پچھے|← پوئتي
17|menu|Menu|మెను|मेन्यू|பட்டியல்|ಮೆನು|മെനു|মেনু|मेनू|મેનૂ|ਮੀਨੂ|ମେନୁ|মেনু|مینو|मेनु|मेनु|मेनू|ꯃꯦꯅꯨ|मेनु|मेनू|ᱢᱮᱱᱩ|مینو|مينيو
18|later|Later|తర్వాత|बाद में|பின்னர்|ನಂತರ|പിന്നീട്|পরে|नंतर|પછી|ਬਾਅਦ ਵਿੱਚ|ପରେ|পিছত|بعد میں|अनन्तरम्|पछि|उपरांत|ꯃꯇꯨꯡꯗ|उननि|बाद च|ᱯᱟᱹᱪᱷᱟᱹ|بعد|پوءِ
19|save|Save|సేవ్ చేయండి|सेव करें|சேமிக்கவும்|ಉಳಿಸಿ|സേവ് ചെയ്യുക|সেভ করুন|जतन करा|સાચવો|ਸੇਵ ਕਰੋ|ସେଭ୍ କରନ୍ତୁ|সংৰক্ষণ কৰক|محفوظ کریں|सञ्चयत|सेव गर्नुहोस्|सेव करात|ꯁꯦꯚ ꯇꯧꯌꯨ|सेव खालाम|सेव करो|ᱥᱮᱵ ᱠᱚᱨᱚ|محفوظ کرو|محفوظ ڪريو
20|saving|Saving…|సేవ్ అవుతోంది…|सेव हो रहा है…|சேமிக்கிறது…|ಉಳಿಸುತ್ತಿದೆ…|സേവ് ചെയ്യുന്നു…|সেভ হচ্ছে…|जतन होत आहे…|સાચવી રહ્યું છે…|ਸੇਵ ਹੋ ਰਿਹਾ ਹੈ…|ସେଭ୍ ହେଉଛି…|সংৰক্ষণ হৈ আছে…|محفوظ ہو رہا ہے…|सञ्चयति…|सेव हुँदैछ…|सेव जाता…|ꯁꯦꯚ ꯇꯧꯈꯤꯕ…|सेव जादों…|सेव हो रिया…|ᱥᱮᱵ ᱦᱩᱭᱮᱱᱟ…|محفوظ تھوان چھو…|محفوظ ٿي رهيو آهي…
21|loading|Loading…|లోడ్ అవుతోంది…|लोड हो रहा है…|ஏற்றுகிறது…|ಲೋಡ್ ಆಗುತ್ತಿದೆ…|ലോഡ് ചെയ്യുന്നു…|লোড হচ্ছে…|लोड होत आहे…|લોડ થઈ રહ્યું છે…|ਲੋਡ ਹੋ ਰਿਹਾ ਹੈ…|ଲୋଡ୍ ହେଉଛି…|লোড হৈ আছে…|لوڈ ہو رہا ہے…|लोड् भवति…|लोड हुँदैछ…|लोड जाता…|ꯂꯣꯗꯤꯡ…|लोड जादों…|लोड हो रिया…|ᱞᱚᱰ ᱦᱩᱭᱮᱱᱟ…|لوڈ تھوان چھو…|لوڊ ٿي رهيو آهي…
22|close|Close|||||||||||||||||||||
23|dismiss|Dismiss|||||||||||||||||||||
24|reload|Reload|||||||||||||||||||||
25|back_to_home|Back to home|||||||||||||||||||||
26|japam|Japam|జపం|जपम|ஜபம்|ಜಪಂ|ജപം|জপম|जपम|જપમ|ਜਪਮ|ଜପମ|জপম|جپم|जपम्|जपम|जपम|ꯖꯄꯝ|जपम|जपम|ᱡᱚᱯᱚᱢ|جپم|جپم
27|match_chant|Match & Chant|సరిపోల్చండి, జపించండి|मिलान करें, जप करें|பொருத்துங்கள், ஜபியுங்கள்|ಹೊಂದಿಸಿ, ಜಪಿಸಿ|ചേർക്കുക, ജപിക്കുക|মিলান, জপ করুন|जुळवा, जप करा|જોડો, જપ કરો|ਮਿਲਾਓ, ਜਪ ਕਰੋ|ମିଳାନ୍ତୁ, ଜପ କରନ୍ତୁ|মিলাওক, জপ কৰক|ملائیں، جپ کریں|मेलयत, जपत|मिलाउनुहोस्, जप गर्नुहोस्|जुळवात, जप करात|ꯃꯤꯂꯥꯎ, ꯖꯄ ꯇꯧ|मिलाओ, जप खालाम|मिलाओ, जप करो|ᱢᱤᱞᱟᱣ, ᱡᱚᱯ ᱠᱚᱨᱚ|ملاؤ، جپ کرو|ملائيو، جپ ڪريو
28|match_divine_candies_hear_mantras_build_your_japa|Match divine candies. Hear mantras. Build your japa.|దివ్య మిఠాయిలు సరిపోల్చండి. మంత్రాలు వినండి. మీ జపాన్ని పెంపొందించండి.|दिव्य मिठाइयाँ मिलाएँ। मंत्र सुनें। अपना जप बनाएँ।|திவ்ய மிட்டாய்களை பொருத்துங்கள். மந்திரங்களை கேளுங்கள். உங்கள் ஜபத்தை வளர்த்தெடுங்கள்.|ದಿವ್ಯ ಸಿಹಿತಿಂಡಿಗಳನ್ನು ಹೊಂದಿಸಿ. ಮಂತ್ರಗಳನ್ನು ಕೇಳಿ. ನಿಮ್ಮ ಜಪವನ್ನು ಬೆಳೆಸಿ.|ദിവ്യ മിഠായികൾ ചേർക്കുക. മന്ത്രങ്ങൾ കേൾക്കുക. നിങ്ങളുടെ ജപം വളർത്തുക.|দৈব মিঠাই মিলান। মন্ত্র শুনুন। আপনার জপ গড়ে তুলুন।|दिव्य मिठाई जुळवा. मंत्र ऐका. आपला जप वाढवा.|દિવ્ય મિઠાઈ જોડો. મંત્ર સાંભળો. તમારો જપ વધારો.|ਦਿਵਿਆ ਮਿਠਾਈਆਂ ਮਿਲਾਓ। ਮੰਤਰ ਸੁਣੋ। ਆਪਣਾ ਜਪ ਵਧਾਓ।|ଦିବ୍ୟ ମିଠାଇ ମିଳାନ୍ତୁ। ମନ୍ତ୍ର ଶୁଣନ୍ତୁ। ଆପଣଙ୍କ ଜପ ବଢାନ୍ତୁ।|দৈৱিক মিঠাই মিলাওক। মন্ত্ৰ শুনক। আপোনাৰ জপ গঢ়ক।|الہی مٹھائیاں ملائیں۔ منتر سنیں۔ اپنا جپ بنائیں۔|दिव्यमोदकान् मेलयत। मन्त्रान् शृणुत। स्वजपं वर्धयत।|दिव्य मिठाई मिलाउनुहोस्। मन्त्र सुन्नुहोस्। आफ्नो जप बढाउनुहोस्।|दैवी मिठाय जुळवात। मंत्र आयकात। तुमचो जप वाडयात।|ꯗꯤꯕꯤꯌꯥ ꯃꯤꯊꯥꯏ ꯃꯤꯂꯥꯎ। ꯃꯟꯇ꯭ꯔ ꯈꯦꯟꯅꯕꯤꯌꯨ। ꯅꯪꯒꯤ ꯖꯄ ꯄꯥꯟꯕꯤꯌꯨ।|दैवी मिठाइ मिलाओ। मन्त्र सुनो। नों जप बांदो।|दैवी मिठाई मिलाओ। मन्त्र सुनो। अपणा जप बढाओ।|ᱫᱤᱵᱤ ᱢᱤᱴᱷᱟᱹᱭ ᱢᱤᱞᱟᱣ। ᱢᱚᱱᱛᱨᱚ ᱥᱮᱨᱮᱧ ᱠᱚᱨᱚ। ᱟᱢ ᱡᱚᱯ ᱵᱟᱲᱦᱟᱣ।|دیوی مٹھائی ملاؤ۔ منتر سنو۔ خپل جپ بناؤ۔|ديوي مٺائي ملائيو۔ منتر ٻڌيو۔ پنهنجو جپ وڌائيو۔
29|try_as_guest|Try as Guest|అతిథిగా ప్రయత్నించండి|अतिथि के रूप में आज़माएँ|விருந்தினராக முயற்சிக்குங்கள்|ಅತಿಥಿಯಾಗಿ ಪ್ರಯತ್ನಿಸಿ|അതിഥിയായി പരീക്ഷിക്കുക|অতিথি হিসেবে চেষ্টা করুন|अतिथी म्हणून प्रयत्न करा|અતિથિ તરીકે પ્રયાસ કરો|ਮਹਿਮਾਨ ਵਜੋਂ ਕੋਸ਼ਿਸ਼ ਕਰੋ|ଅତିଥି ଭାବରେ ଚେଷ୍ଟା କରନ୍ତୁ|অতিথি হিচাপে চেষ্টা কৰক|مہمان کے طور پر کوشش کریں|अतिथिरूपेण प्रयत्नत|अतिथिको रूपमा प्रयास गर्नुहोस्|अतिथी म्हणून प्रयत्न करात|ꯑꯇꯤꯊꯤ ꯑꯣꯏꯅ ꯇꯨꯡꯕꯤꯌꯨ|अतिथि बिदिं प्रयास खालाम|मेहमान बन के कोशिश करो|ᱟᱹᱛᱩᱭ ᱞᱮᱠᱟᱛᱮ ᱮᱴᱮᱢ ᱠᱚᱨᱚ|مہمان بنیو کوشش کرو|مهمان طور ڪوشش ڪريو
30|built_by|Built by|రూపొందించినవారు|द्वारा निर्मित|உருவாக்கியவர்|ನಿರ್ಮಿಸಿದವರು|നിർമ്മിച്ചത്|তৈরি করেছেন|बनवणारे|બનાવનાર|ਬਣਾਉਣ ਵਾਲੇ|ନିର୍ମାଣକାରୀ|নিৰ্মাণকাৰী|بنانے والے|निर्माता|निर्माण गर्ने|बांदपी|ꯁꯦꯝꯕꯤꯕꯥ꯫|बानानाय|बनावैया|ᱵᱮᱱᱟᱣᱤᱡ|بنان والے|ٺاهيندڙ
31|ai_developer_india|AI Developer India|||||||||||||||||||||
32|all_rights_reserved|All rights reserved.|అన్ని హక్కులు ప్రత్యేకం.|सर्वाधिकार सुरक्षित।|அனைத்து உரிமைகளும் பாதுகாக்கப்பட்டவை.|ಎಲ್ಲ ಹಕ್ಕುಗಳೂ ಕಾಯ್ದಿರಿಸಿವೆ.|എല്ലാ അവകാശങ്ങളും നിക്ഷിപ്തം.|সমস্ত অধিকার সংরক্ষিত।|सर्व हक्क राखीव.|બધા અધિકારો અનામત.|ਸਾਰੇ ਅਧਿਕਾਰ ਰਾਖਵੇਂ।|ସମସ୍ତ ଅଧିକାର ସଂରକ୍ଷିତ।|সকলো অধিকাৰ সংৰক্ষিত।|جملہ حقوق محفوظ ہیں۔|सर्वाधिकाराः सुरक्षिताः।|सर्वाधिकार सुरक्षित।|सगळे अधिकार राखिल्ले।|ꯄꯥꯟꯕ ꯑꯣꯏꯕ ꯑꯁꯤ ꯂꯧꯁꯤꯟꯂꯦ꯫|गासै अधिकार रैखाथि।|सब अधिकार सुरक्षित।|ᱥᱟᱱᱟᱢ ᱟᱹᱭᱩᱵ ᱨᱟᱠᱷᱟᱣᱤᱡ।|سارے حقوق محفوظ۔|سمورا حق محفوظ آهن۔
33|japam|JAPAM|జపం|जपम|ஜபம்|ಜಪಂ|ജപം|জপম|जपम|જપમ|ਜਪਮ|ଜପମ|জপম|جپم|जपम्|जपम|जपम|ꯖꯄꯝ|जपम|जपम|ᱡᱚᱯᱚᱢ|جپم|جپم
34|digital_mantra_practice|DIGITAL MANTRA PRACTICE|డిజిటల్ మంత్ర సాధన|डिजिटल मंत्र साधना|டிஜிட்டல் மந்திர பயிற்சி|ಡಿಜಿಟಲ್ ಮಂತ್ರ ಸಾಧನೆ|ഡിജിറ്റൽ മന്ത്ര സാധന|ডিজিটাল মন্ত্র সাধনা|डिजिटल मंत्र साधना|ડિજિટલ મંત્ર સાધના|ਡਿਜਿਟਲ ਮੰਤਰ ਸਾਧਨਾ|ଡିଜିଟାଲ ମନ୍ତ୍ର ସାଧନା|ডিজিটেল মন্ত্ৰ সাধনা|ڈیجیٹل منتر سادھنا|डिजिटलमन्त्रसाधना|डिजिटल मन्त्र साधना|डिजिटल मंत्र साधना|ꯗꯤꯖꯤꯇꯦꯜ ꯃꯟꯇ꯭ꯔ ꯁꯥꯗꯍꯅꯥ|डिजिटल मन्त्र साधना|डिजिटल मन्त्र साधना|ᱰᱤᱡᱤᱴᱟᱞ ᱢᱚᱱᱛᱨᱚ ᱥᱟᱫᱷᱚᱱᱟ|ڈیجیٹل منتر سادھنا|ڊجيٽل منتر سادھنا
35|skip|Skip|దాటివెళ్ళండి|छोड़ें|தவிர்க்கவும்|ಬಿಟ್ಟುಬಿಡಿ|ഒഴിവാക്കുക|এড়িয়ে যান|वगळा|છોડો|ਛੱਡੋ|ଛାଡିଦିଅନ୍ତୁ|বাদ দিয়ক|چھوڑیں|अतिक्रम्य गच्छत|छोड्नुहोस्|वगळात|ꯆꯣꯔꯕꯤꯌꯨ|नागिर|छोड़ो|ᱪᱷᱟᱹᱰᱤᱭᱟᱭ|چھوڑو|ڇڏيو
36|japam_mantra_match|Japam - Mantra Match|||||||||||||||||||||
37|match_gems_complete_japas_for_your_favourite_deity_and_join_community_japa_marathons|Match gems, complete japas for your favourite deity, and join community Japa Marathons.|||||||||||||||||||||
38|jai|Jai!|జై!|जय!|ஜெய்!|ಜೈ!|ജയ്!|জয়!|जय!|જય!|ਜੈ!|ଜୟ!|জয়!|جے!|जय!|जय!|जय!|ꯖꯥꯏ!|जय!|जय!|ᱡᱚᱭ!|جے!|جَي!
39|try_again|Try Again|మళ్ళీ ప్రయత్నించండి|पुनः प्रयास करें|மீண்டும் முயற்சிக்குங்கள்|ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ|വീണ്ടും ശ്രമിക്കുക|আবার চেষ্টা করুন|पुन्हा प्रयत्न करा|ફરી પ્રયાસ કરો|ਦੁਬਾਰਾ ਕੋਸ਼ਿਸ਼ ਕਰੋ|ପୁନର୍ବାର ଚେଷ୍ଟା କରନ୍ତୁ|আকৌ চেষ্টা কৰক|دوبارہ کوشش کریں|पुनः प्रयत्नत|फेरि प्रयास गर्नुहोस्|पुनः प्रयत्न करात|ꯑꯍꯦꯟꯕ ꯇꯨꯡꯕꯤꯌꯨ|फिन नाय प्रयास खालाम|फेर कोशिश करो|ᱫᱩᱵᱟᱹᱨ ᱮᱴᱮᱢ ᱠᱚᱨᱚ|دوبارہ کوشش کرو|ٻيهر ڪوشش ڪريو
40|marathon_complete|Marathon complete!|మేరథాన్ పూర్తయింది!|मैराथन पूर्ण!|மாரத்தான் முடிந்தது!|ಮ್ಯಾರಥಾನ್ ಪೂರ್ಣ!|മാരത്തോൺ പൂർത്തിയായി!|ম্যারাথন সম্পূর্ণ!|मॅराथॉन पूर्ण!|મેરાથોન પૂર્ણ!|ਮੈਰਾਥਨ ਪੂਰਾ!|ମାରାଥନ୍ ସମାପ୍ତ!|মেৰাথন সম্পূৰ্ণ!|میراتھن مکمل!|मैराथनं समाप्तम्!|म्याराथन पूरा!|मॅराथॉन पुराय!|ꯃꯦꯔꯥꯊꯟ ꯄꯨꯔꯥ!|मेराथन जोबोर!|मैराथन पूरा!|ᱢᱮᱨᱟᱴᱷᱚᱱ ᱯᱩᱨᱟᱹ!|میراتھن مکمل!|ميٿن مڪمل!
41|you_completed_the_japas|You completed the japas!|మీరు జపాలు పూర్తి చేసారు!|आपने जप पूरे कर लिए!|ஜபங்களை முடித்துவிட்டீர்கள்!|ಜಪಗಳನ್ನು ಪೂರ್ಣಗೊಳಿಸಿದ್ದೀರಿ!|ജപങ്ങൾ പൂർത്തിയാക്കി!|জপ সম্পন্ন করেছেন!|जप पूर्ण केले!|જપ પૂર્ણ કર્યા!|ਜਪ ਪੂਰੇ ਕੀਤੇ!|ଜପ ସମାପ୍ତ କରିଛନ୍ତି!|জপ সম্পূৰ্ণ কৰিলে!|جپ مکمل کر لیے!|जपानि समाप्तानि!|जप पूरा गर्नुभयो!|जप पुराय केलें!|ꯖꯄꯁꯤꯡ ꯄꯨꯔꯥ ꯇꯧꯈꯤ!|जप जोबोर खालाम!|जप पूरे करे!|ᱡᱚᱯ ᱯᱩᱨᱟᱹ ᱠᱮᱫᱟ!|جپ مکمل کیتے!|جپ مڪمل ڪيا!
42|you_reached_the_marathon_target|You reached the marathon target!|మీరు మేరథాన్ లక్ష్యాన్ని చేరుకున్నారు!|आप मैराथन लक्ष्य तक पहुँच गए!|மாரத்தான் இலக்கை அடைந்துவிட்டீர்கள்!|ಮ್ಯಾರಥಾನ್ ಗುರಿ ತಲುಪಿದ್ದೀರಿ!|മാരത്തോൺ ലക്ഷ്യം നേടി!|ম্যারাথন লক্ষ্য পূরণ করেছেন!|मॅराथॉन लक्ष्य गाठले!|મેરાથોન લક્ષ્ય પહોંચ્યા!|ਮੈਰਾਥਨ ਟੀਚਾ ਪ੍ਰਾਪਤ ਕੀਤਾ!|ମାରାଥନ୍ ଲକ୍ଷ୍ୟ ପ୍ରାପ୍ତ କରିଛନ୍ତି!|মেৰাথন লক্ষ্য পালে!|میراتھن ہدف پا لیا!|मैराथनलक्ष्यं प्राप्तम्!|म्याराथन लक्ष्य पुग्नुभयो!|मॅराथॉन लक्ष्य पावलें!|ꯃꯦꯔꯥꯊꯟ ꯂꯥꯛꯁꯤꯌꯥ ꯄꯥꯈꯤ!|मेराथन लक्ष्य गोनां खालाम!|मैराथन लक्ष्य पौछे!|ᱢᱮᱨᱟᱴᱷᱚᱱ ᱞᱟᱠᱷᱭᱚ ᱯᱟᱹᱧᱮᱞᱮᱱᱟ!|میراتھن ہدف پا گۄ!|ميٿن هدف پايو!
43|out_of_moves_chant_more_next_time|Out of moves. Chant more next time!|మూవులు ముగిశాయి. తదుపరిసారి ఎక్కువ జపించండి!|चालें खत्म। अगली बार और जप करें!|நகர்வுகள் முடிந்துவிட்டன. அடுத்த முறை அதிகம் ஜபியுங்கள்!|ಚಲನೆಗಳು ಮುಗಿದವು. ಮುಂದಿನ ಸಲ ಹೆಚ್ಚು ಜಪಿಸಿ!|നീക്കങ്ങൾ തീർന്നു. അടുത്ത തവണ കൂടുതൽ ജപിക്കുക!|চাল শেষ। পরের বার আরও জপ করুন!|चाल संपल्या. पुढच्या वेळी अधिक जप करा!|ચાલો ખતમ. આગળ વધુ જપ કરો!|ਚਾਲਾਂ ਖਤਮ। ਅਗਲੀ ਵਾਰ ਹੋਰ ਜਪ ਕਰੋ!|ଚାଲ ସମାପ୍ତ। ପରବର୍ତ୍ତୀ ବାର ଅଧିକ ଜପ କରନ୍ତୁ!|চাল শেষ। পিছত বেছি জপ কৰক!|چالیں ختم۔ اگلی بار زیادہ جپ کریں!|चालाः समाप्ताः। पुनः अधिकं जपत!|चाल सकियो। अर्को पटक धेरै जप गर्नुहोस्!|चाल संपल्यो। फुडें चड जप करात!|ꯆꯥꯂꯁꯤꯡ ꯃꯨꯇꯈꯤ। ꯑꯍꯦꯟꯕ ꯃꯃꯥꯡ ꯃꯈꯥ ꯖꯄ ꯇꯧꯌꯨ!|चाल खम। फिन बेसाद जप खालाम!|चाल खतम। अगली बार ज्यादा जप करो!|ᱪᱟᱞ ᱢᱩᱪᱟᱹᱫ। ᱤᱱᱟᱹ ᱚᱠᱛᱚ ᱵᱟᱹᱲᱛᱤ ᱡᱚᱯ ᱠᱚᱨᱚ!|چال ختم۔ اگلی وار زیادہ جپ کرو!|چالون ختم۔ ايندڙ ڀيري وڌيڪ جپ ڪريو!
44|next_level|Next Level|తదుపరి స్థాయి|अगला स्तर|அடுத்த நிலை|ಮುಂದಿನ ಹಂತ|അടുത്ത ലെവൽ|পরবর্তী স্তর|पुढचा स्तर|આગળનું સ્તર|ਅਗਲੀ ਸਤਰ|ପରବର୍ତ୍ତୀ ସ୍ତର|পৰৱৰ্তী স্তৰ|اگلی سطح|अग्रिमस्तरः|अर्को तह|फुडलो स्तर|ꯑꯍꯦꯟꯕ ꯁꯇꯔ|गोदोम स्तर|अगला स्तर|ᱤᱱᱟᱹ ᱥᱴᱚᱨ|اگلی سطح|ايندڙ سطح
